Cycles,RemainingUsefulLife_Multiplier10
0.000000000000000000e+00,1.502423471177482270e+03
0.000000000000000000e+00,1.433283956306750270e+03
1.121212121212121282e+01,1.352566174663777929e+03
2.242424242424242564e+01,1.208860934225154551e+03
3.363636363636364024e+01,1.068958433574666515e+03
4.484848484848485128e+01,9.348731716462363011e+02
5.606060606060606233e+01,8.079286651732122664e+02
6.727272727272728048e+01,6.902401279614909981e+02
7.848484848484848442e+01,5.845475431708860015e+02
8.969696969696970257e+01,4.908806680730591552e+02
1.009090909090909207e+02,4.208315273110773660e+02
1.121212121212121247e+02,3.999022139040907859e+02
1.233333333333333428e+02,3.968713435837013321e+02
1.345454545454545610e+02,3.960135150685185295e+02
1.457575757575757791e+02,3.956690573678799296e+02
1.569696969696969688e+02,3.953515669703847948e+02
1.681818181818181870e+02,3.950703947100219011e+02
1.793939393939394051e+02,3.948631824238054264e+02
1.906060606060606233e+02,3.946903436210675409e+02
2.018181818181818414e+02,3.945279845489329773e+02
2.130303030303030312e+02,3.943800704430210544e+02
2.242424242424242493e+02,3.942387740654974095e+02
2.354545454545454675e+02,3.941098829129429078e+02
2.466666666666666856e+02,3.940170634874254461e+02
2.578787878787878753e+02,3.939471553094189176e+02
2.690909090909091219e+02,3.938876497591954262e+02
2.803030303030303116e+02,3.938336035810285125e+02
2.915151515151515582e+02,3.937819659119164157e+02
3.027272727272727479e+02,3.937305861143407242e+02
3.139393939393939377e+02,3.936817593739130530e+02
3.251515151515151842e+02,3.936382287898019854e+02
3.363636363636363740e+02,3.936053645328171910e+02
3.475757575757576205e+02,3.935791457998813030e+02
3.587878787878788103e+02,3.935531040997934156e+02
3.700000000000000000e+02,3.935352645461532575e+02
3.812121212121212466e+02,3.935184191920826038e+02
3.924242424242424363e+02,3.935015738380118933e+02
4.036363636363636829e+02,3.934847284839411827e+02
4.148484848484848726e+02,3.934678831298704722e+02
4.260606060606060623e+02,3.934510377757997617e+02
4.372727272727273089e+02,3.934341924217290511e+02
4.484848484848484986e+02,3.934173470676583975e+02
4.596969696969697452e+02,3.934005017135876869e+02
4.709090909090909349e+02,3.933836563595169764e+02
4.821212121212121247e+02,3.933668110054462659e+02
4.933333333333333712e+02,3.933499656513755554e+02
5.045454545454545610e+02,3.933331202973048448e+02
5.157575757575757507e+02,3.933162749432341911e+02
5.269696969696969973e+02,3.932994295891634806e+02
5.381818181818182438e+02,3.932825842350927701e+02
5.493939393939393767e+02,3.932657388810220596e+02
5.606060606060606233e+02,3.932488935269513490e+02
5.718181818181818699e+02,3.932320481728806385e+02
5.830303030303031164e+02,3.932152028188099280e+02
5.942424242424242493e+02,3.931983574647392174e+02
6.054545454545454959e+02,3.931815121106685638e+02
6.166666666666667425e+02,3.931646667565978532e+02
6.278787878787878753e+02,3.931478214025271427e+02
6.390909090909091219e+02,3.931309760484564322e+02
6.503030303030303685e+02,3.931141306943857785e+02
6.615151515151515014e+02,3.930972853403150111e+02
6.727272727272727479e+02,3.930804399862443574e+02
6.839393939393939945e+02,3.930635946321736469e+02
6.951515151515152411e+02,3.930467492781029364e+02
7.063636363636363740e+02,3.930299039240322259e+02
7.175757575757576205e+02,3.930130585699615153e+02
7.287878787878788671e+02,3.929962132158908048e+02
7.400000000000000000e+02,3.929793678618200374e+02
7.512121212121212466e+02,3.929625225077492701e+02
7.624242424242424931e+02,3.929456771536785595e+02
7.736363636363637397e+02,3.929288317996079059e+02
7.848484848484848726e+02,3.929119864455371953e+02
7.960606060606061192e+02,3.928951410914664848e+02
8.072727272727273657e+02,3.928782957373957743e+02
8.184848484848484986e+02,3.928614503833250637e+02
8.296969696969697452e+02,3.928446050292543532e+02
8.409090909090909918e+02,3.928277596751836995e+02
8.521212121212121247e+02,3.928109143211129322e+02
8.633333333333333712e+02,3.927940689670422785e+02
8.745454545454546178e+02,3.927772236129715679e+02
8.857575757575758644e+02,3.927603782589008574e+02
8.969696969696969973e+02,3.927435329048301469e+02
9.081818181818182438e+02,3.927266875507594932e+02
9.193939393939394904e+02,3.927098421966887258e+02
9.306060606060606233e+02,3.926929968426180722e+02
9.418181818181818699e+02,3.926761514885473616e+02
9.530303030303031164e+02,3.926593061344766511e+02
9.642424242424242493e+02,3.926424607804059406e+02
9.754545454545454959e+02,3.926256154263352300e+02
9.866666666666667425e+02,3.926087700722645195e+02
9.978787878787879890e+02,3.925919247181938658e+02
1.009090909090909122e+03,3.925750793641230985e+02
1.020303030303030368e+03,3.925582340100524448e+02
1.031515151515151501e+03,3.925413886559817342e+02
1.042727272727272748e+03,3.925245433019110237e+02
1.053939393939393995e+03,3.925076979478403132e+02
1.065151515151515241e+03,3.924908525937696595e+02
1.076363636363636488e+03,3.924740072396989490e+02
1.087575757575757734e+03,3.924571618856282385e+02
1.098787878787878753e+03,3.924403165315575279e+02
1.110000000000000000e+03,3.924234711774868174e+02
